Public Field,Public Entity,Description,Data Type,Required?,Relationship,Source Concept,Production Value Treatment,Notes
resource_reference,Resource,Stable identifier for a directory resource record,Identifier,Yes,Primary key of Resource,Internal record identifier,Never publish,Production identifiers are Dataverse GUIDs; fictional samples use SAMPLE-RESOURCE-### instead
program_title,Resource,Name of the specific program or offering,Text,Yes,,Program title column,Never publish,Fictional sample permitted; populated on 204/204 source rows
organization_title,Resource,Name of the organization operating the program,Text,Recommended,Groups multiple programs under one provider,Organization title column,Never publish,Fictional sample permitted; 199 distinct organizations across 200 populated rows (aggregate only)
top_level_categories,Resource,One or more broad service categories,Multi-select choice,Recommended,Classification layer 1,Multi-select category column,Public taxonomy label only after review,8 distinct values in source (aggregate only); real labels withheld; samples use invented labels
specialization,Resource,Narrower focus within a category,Text,Optional,Classification layer 2,Specialization column,Never publish,Fictional sample permitted; populated on 202/204 source rows
service_description,Resource,What the resource actually does for a person,Text,Recommended,Classification layer 3,Service description column,Never publish,175 distinct trim-normalized values (aggregate only); fictional sample permitted
contact_channels,Resource,Phone and email availability for the resource,Text,Optional,,Primary phone and primary email columns,Never publish,Presence rates only (184 and 127 of 204); samples use contact@example.invalid and no realistic phone digits
location,Resource,Physical address or service location,Text,Optional,,Full address column,Never publish,Presence rate only (171/204); samples use obviously fictional non-postal placeholders
web_link,Resource,Public web presence of the resource,URL,Optional,,Website column,Never publish,Presence rate only (192/204); samples use https://example.invalid/ URLs
hours_availability,Resource,When the service can actually be reached,Text,Optional,,Hours of operation column,Never publish,Presence rate only (115/204); fictional sample permitted
summary,Resource,Free-text descriptive overview of the resource,Text,Recommended,,About/description column,Never publish,Presence rate only (200/204); fictional sample permitted
average_rating,Resource,Internal curation signal for usefulness/quality,Number,Optional,,Average rating column,Aggregate only,Populated on 204/204 rows; no production rating value is published; fictional sample permitted
active_status,Resource,Whether the entry is currently maintained and referable,Choice,Recommended,,Active-filtered export view,Generalized structure only,Status design is reconstructed from the active-filtered view; exact field withheld
copy_target,Resource,Target reference used when copying a directory record,Reference,Optional,Copy mechanism,Copy-to column,Generalized structure only,Populated on 1/204 source rows; working interpretation of a copy workflow
step_reference,Pathway Step,Stable identifier for a pathway step record,Identifier,Yes,Primary key of Pathway Step,Internal record identifier,Never publish,Production identifiers are Dataverse GUIDs; samples use SAMPLE-GOAL/ACTION/NEED-###
step_code,Pathway Step,Dotted hierarchy code mirroring the tree (1 / 1.2 / 1.2.3): level and sibling order,Text,Recommended,Mirrors the tree; used by the copy workflow's duplicate check,Hierarchy ID column,Generalized structure only,Pattern shapes and integrity counts published (aggregate only); 4 source rows blank (unresolved); 2 letter-suffixed codes are an observed shape with uninterpreted semantics
parent_step,Pathway Step,Parent reference: the production parentage mechanism,Reference,Recommended,Pathway Step to Pathway Step (child to parent),Parent lookup demonstrated by the recovered copy workflow,Generalized structure only,Not present in the analyzed export view; evidenced by the copy workflow's child queries
step_type,Pathway Step,Level of the step: Goal / Action Item / Need,Choice,Yes,Determines hierarchy level,Type column,Aggregate only,Normalized counts published (32/68/86); source middle label is plural
pathway_reference,Pathway Step,Top-level code segment shared by all rows of one pathway,Text,Derived,Groups a pathway's rows,Leading segment of hierarchy ID,Generalized structure only,31 distinct top-level codes (aggregate only)
linked_resource,Pathway Step,Reference to a generalized directory resource,Reference,Optional,Pathway Step to Resource (many-to-one),Resource lookup column,Never publish,Join-verified counts only (165/186 rows; 16 distinct references each matching one directory row); exact mappings withheld; production also copied selected contact/link fields as snapshots (hybrid model)
step_title,Pathway Step,Short name of the goal or step or need,Text,Yes,,Name column,Never publish,Populated on 186/186 rows; fictional sample permitted
step_summary,Pathway Step,What the step involves,Text,Optional,,Description column,Never publish,Presence rate only (126/186); fictional sample permitted
